Date,Equity
2023-05-30,988194.4518249886
2023-05-31,987713.3079717048
2023-06-01,1007801.3439149624
2023-06-02,1019171.5150079068
2023-06-05,1017306.4070578733
2023-06-06,1014320.000330883
2023-06-07,1041209.6723898111
2023-06-08,1016639.6595216859
2023-06-09,1057228.2854550076
2023-06-12,1053612.4296166918
2023-06-13,1085268.3397567526
2023-06-14,1103734.8207088904
2023-06-15,1144187.5278221753
2023-06-16,1154317.3914585894
2023-06-19,1146657.2586938932
2023-06-20,1147769.0863890105
2023-06-21,1152252.6962902364
2023-06-26,1134965.9314819148
2023-06-27,1098247.1505049092
2023-06-28,1094569.5171686218
2023-06-29,1114435.3054055942
2023-06-30,1147277.3394145528
2023-07-03,1191852.94385331
2023-07-04,1264449.1114848787
2023-07-05,1258986.355335027
2023-07-06,1255502.6305123433
2023-07-07,1250366.8204067866
2023-07-10,1259393.4571525021
2023-07-11,1312776.6121872955
2023-07-12,1353035.981570037
2023-07-13,1384324.4899219929
2023-07-14,1423145.4849455368
2023-07-17,1422514.5595559645
2023-07-18,1421338.0860576928
2023-07-19,1403374.3003278219
2023-07-20,1440018.073975344
2023-07-21,1509237.0171634988
2023-07-24,1533472.6807903533
2023-07-25,1514750.1685385422
2023-07-26,1513241.4850248264
2023-07-27,1513388.472465645
2023-07-28,1544443.580033208
2023-07-31,1504502.0385928885
2023-08-01,1492420.5013617855
2023-08-02,1391716.3021359206
2023-08-04,1401142.2808026015
2023-08-07,1474308.4589197217
2023-08-08,1462866.0009007629
2023-08-09,1462391.8040101754
2023-08-10,1396818.6447675382
2023-08-11,1417613.1186454988
2023-08-14,1396687.8665429617
2023-08-15,1445432.0227139983
2023-08-16,1483102.8600576348
2023-08-17,1519099.329403879
2023-08-18,1480077.3765715822
2023-08-21,1503800.0913747551
2023-08-22,1524346.6477324052
2023-08-23,1541824.2212122502
2023-08-24,1550711.5663446754
2023-08-25,1526733.76780802
2023-08-28,1513341.8266279595
2023-08-29,1515456.8387038559
2023-08-30,1514909.2755182353
2023-08-31,1515219.858323678
2023-09-01,1506988.7874717312
2023-09-04,1508411.2227101282
2023-09-05,1507110.8522010767
2023-09-06,1511928.8673891316
2023-09-07,1510136.264310094
2023-09-08,1509605.5167786998
2023-09-11,1503277.2743929406
2023-09-12,1505329.1053346258
2023-09-13,1507289.149643211
2023-09-14,1510262.375812552
2023-09-15,1511539.733720495
2023-09-18,1505601.7283217276
