Ticker,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Return_Pct,Reason,Days_Held,TP_Price,SL_Price
3037,2023-05-22,2023-05-26,156.2,177.5,0.1286,🟢 停利,4,177.5,140.22
2376,2023-05-22,2023-05-26,150.83,169.57,0.1166,🟢 停利,4,169.26,137.01
3443,2023-05-23,2023-05-29,1239.01,1460.26,0.1705,🟢 停利,4,1460.26,1073.07
2382,2023-05-22,2023-05-30,100.85,112.76,0.1105,🟢 停利,6,112.47,92.13
1519,2023-05-22,2023-06-02,98.35,119.72,0.209,🟢 停利,9,119.72,82.32
2204,2023-05-22,2023-06-02,73.77,84.42,0.1365,🟢 停利,9,84.42,65.79
2376,2023-05-26,2023-06-02,169.74,191.31,0.1193,🟢 停利,5,191.31,153.57
3231,2023-05-26,2023-06-02,57.7,66.51,0.1448,🟢 停利,5,66.51,51.09
2376,2023-06-02,2023-06-07,179.89,206.8,0.1417,🟢 停利,3,206.8,159.71
3037,2023-05-26,2023-06-08,176.13,158.07,-0.1087,🔴 停損,9,200.2,158.07
2376,2023-06-07,2023-06-12,192.8,225.52,0.1617,🟢 停利,3,225.52,168.27
3017,2023-05-22,2023-06-13,177.16,209.37,0.1737,🟢 停利,16,209.37,153.01
2618,2023-05-30,2023-06-14,29.85,33.02,0.0988,🟢 停利,11,33.02,27.46
3661,2023-05-22,2023-06-15,1538.35,1809.6,0.1683,🟢 停利,18,1809.6,1334.9
3443,2023-05-29,2023-06-15,1408.4,1648.02,0.1621,🟢 停利,13,1648.02,1228.68
2382,2023-06-08,2023-06-15,113.34,133.56,0.1704,🟢 停利,5,133.01,98.59
1504,2023-05-23,2023-06-16,46.62,53.3,0.1355,🟢 停利,18,53.3,41.61
3231,2023-06-02,2023-06-16,65.44,76.43,0.16,🟢 停利,10,76.43,57.19
2368,2023-06-02,2023-06-20,121.17,139.87,0.1464,🟢 停利,12,139.87,107.15
3231,2023-06-16,2023-07-03,73.27,87.53,0.1864,🟢 停利,9,87.53,62.58
1519,2023-06-02,2023-07-04,115.94,119.02,0.0195,⚪ 時間到期,20,141.07,97.09
2301,2023-06-14,2023-07-04,90.96,103.66,0.1318,🟢 停利,12,103.66,81.44
2382,2023-06-15,2023-07-04,133.69,156.45,0.1622,🟢 停利,11,156.45,116.62
3017,2023-06-20,2023-07-04,245.41,287.09,0.1619,🟢 停利,8,287.09,214.15
3035,2023-07-04,2023-07-05,223.29,253.11,0.1258,🟢 停利,1,253.11,200.92
3231,2023-07-03,2023-07-06,86.27,102.86,0.1842,🟢 停利,3,102.86,73.82
2383,2023-06-13,2023-07-10,225.11,261.85,0.1553,🟢 停利,17,261.85,197.55
2376,2023-06-12,2023-07-12,223.25,262.23,0.1666,🟢 停利,20,262.23,194.01
3231,2023-07-06,2023-07-12,94.03,112.13,0.1843,🟢 停利,4,112.13,80.46
2356,2023-06-15,2023-07-13,39.47,46.02,0.1581,🟢 停利,18,46.02,34.55
2382,2023-07-04,2023-07-13,149.42,181.62,0.2072,🟢 停利,7,175.85,129.59
6669,2023-07-10,2023-07-13,1420.3,1758.07,0.2294,🟢 停利,3,1722.06,1193.98
3035,2023-07-05,2023-07-14,247.56,280.99,0.1273,🟢 停利,7,280.99,222.48
3231,2023-07-12,2023-07-14,111.52,133.53,0.1892,🟢 停利,2,133.53,95.01
2618,2023-06-15,2023-07-17,35.64,33.16,-0.076,⚪ 時間到期,20,40.69,31.85
2356,2023-07-13,2023-07-17,45.82,54.38,0.1788,🟢 停利,2,54.38,39.4
3443,2023-06-16,2023-07-18,1611.86,1746.87,0.0764,⚪ 時間到期,20,1932.49,1371.38
3035,2023-07-14,2023-07-18,267.94,319.56,0.1845,🟢 停利,2,315.83,232.03
2383,2023-07-12,2023-07-20,276.29,320.51,0.1521,🟢 停利,6,320.51,243.13
3017,2023-07-04,2023-07-24,284.62,332.69,0.1609,🟢 停利,14,332.59,248.64
2382,2023-07-13,2023-07-24,181.8,213.51,0.1664,🟢 停利,7,213.41,158.09
3035,2023-07-18,2023-07-24,319.88,377.75,0.1728,🟢 停利,4,375.26,278.35
3035,2023-07-24,2023-07-27,378.13,312.29,-0.1798,🔴 停損,3,452.33,322.49
2301,2023-07-17,2023-07-31,126.36,152.36,0.1975,🟢 停利,10,152.36,106.86
1519,2023-07-17,2023-07-31,163.91,190.83,0.1563,🟢 停利,10,190.83,143.73
2610,2023-07-04,2023-08-01,24.14,23.76,-0.0228,⚪ 時間到期,20,27.83,21.38
6669,2023-07-13,2023-08-02,1759.83,1513.59,-0.1458,🔴 停損,14,2088.15,1513.59
1519,2023-07-31,2023-08-02,190.14,164.16,-0.1425,🔴 停損,2,224.79,164.16
3231,2023-07-14,2023-08-04,129.95,108.57,-0.1702,🔴 停損,14,155.29,110.94
2356,2023-07-18,2023-08-04,60.91,52.42,-0.1452,🔴 停損,12,70.34,53.83
3706,2023-07-20,2023-08-10,43.35,36.88,-0.1552,🔴 停損,14,51.99,36.88
2382,2023-07-24,2023-08-17,213.72,256.98,0.1942,🟢 停利,17,256.98,181.28
3017,2023-07-24,2023-08-22,333.02,338.98,0.0109,⚪ 時間到期,20,400.05,282.76
1519,2023-08-02,2023-08-22,175.58,216.38,0.2239,🟢 停利,13,216.38,144.98
3035,2023-07-27,2023-08-25,312.6,323.93,0.0291,⚪ 時間到期,20,398.43,248.23
2383,2023-07-31,2023-08-29,406.14,389.47,-0.0476,⚪ 時間到期,20,485.77,346.42
6285,2023-08-01,2023-08-30,105.97,119.04,0.1157,⚪ 時間到期,20,126.33,90.71
2301,2023-08-02,2023-08-31,138.91,124.39,-0.1107,⚪ 時間到期,20,181.52,106.94
2356,2023-08-04,2023-09-01,52.47,50.17,-0.0503,⚪ 時間到期,20,69.5,39.7
3231,2023-08-04,2023-09-01,108.68,102.91,-0.0596,⚪ 時間到期,20,152.47,75.84
3044,2023-08-10,2023-09-07,163.01,184.59,0.1246,⚪ 時間到期,20,201.94,133.81
2382,2023-08-17,2023-09-14,244.25,217.2,-0.1168,⚪ 時間到期,20,318.38,188.66
1519,2023-08-22,2023-09-19,211.99,191.97,-0.1006,⚪ 時間到期,20,272.79,166.39
2345,2023-08-22,2023-09-19,449.97,486.77,0.0744,⚪ 時間到期,20,533.67,387.19
2634,2023-09-01,2023-09-21,58.53,52.38,-0.1113,🔴 停損,14,66.74,52.38
2449,2023-08-25,2023-09-22,74.2,72.72,-0.0267,⚪ 時間到期,20,85.74,65.54
2454,2023-09-19,2023-09-22,703.05,660.13,-0.0675,🔴 停損,3,754.96,664.11
3036,2023-09-22,2023-09-25,95.25,86.98,-0.0931,🔴 停損,1,106.28,86.98
2368,2023-08-29,2023-09-26,197.14,195.99,-0.0127,⚪ 時間到期,20,243.64,162.27
6285,2023-08-30,2023-09-27,119.62,124.49,0.0337,⚪ 時間到期,20,141.7,103.05
3661,2023-08-31,2023-09-28,2471.12,2638.62,0.0605,⚪ 時間到期,20,2981.44,2088.38
2408,2023-09-22,2023-09-28,72.97,67.2,-0.0854,🔴 停損,4,80.67,67.2
3036,2023-09-25,2023-09-28,90.07,102.62,0.1315,🟢 停利,3,102.62,80.66
3035,2023-09-01,2023-10-02,338.81,303.08,-0.1116,⚪ 時間到期,20,428.62,271.46
2603,2023-09-21,2023-10-04,96.61,90.55,-0.0692,🔴 停損,8,104.69,90.55
3036,2023-09-28,2023-10-05,96.64,111.99,0.151,🟢 停利,4,111.99,85.12
3044,2023-09-07,2023-10-06,182.92,180.89,-0.0179,⚪ 時間到期,20,219.38,155.58
2609,2023-09-28,2023-10-11,40.25,37.82,-0.0668,🔴 停損,6,43.49,37.82
2458,2023-09-14,2023-10-17,125.85,123.6,-0.0246,⚪ 時間到期,20,140.64,114.76
3661,2023-10-02,2023-10-18,2685.45,2367.86,-0.1243,🔴 停損,10,3108.89,2367.86
2637,2023-10-11,2023-10-18,44.31,40.22,-0.0983,🔴 停損,5,49.75,40.22
2204,2023-09-19,2023-10-20,86.89,80.35,-0.0816,⚪ 時間到期,20,101.9,75.63
3443,2023-10-17,2023-10-23,1699.78,1498.02,-0.1247,🔴 停損,4,1965.22,1500.69
3034,2023-09-26,2023-10-27,392.54,387.66,-0.0192,⚪ 時間到期,20,429.15,365.08
6285,2023-09-27,2023-10-30,126.44,119.95,-0.0578,⚪ 時間到期,20,147.61,110.56
2327,2023-09-28,2023-10-31,102.29,102.78,-0.0021,⚪ 時間到期,20,110.58,96.08
2368,2023-10-04,2023-10-31,205.8,176.47,-0.1484,🔴 停損,17,244.9,176.47
1519,2023-10-18,2023-10-31,228.58,192.2,-0.1649,🔴 停損,9,277.08,192.2
6285,2023-10-31,2023-11-01,120.98,109.67,-0.0997,🔴 停損,1,136.07,109.67
3036,2023-10-05,2023-11-06,106.35,125.54,0.1724,🟢 停利,20,125.54,91.95
2454,2023-10-18,2023-11-06,719.23,795.03,0.0978,🟢 停利,13,795.03,662.38
3034,2023-10-31,2023-11-06,407.36,444.78,0.0844,🟢 停利,4,444.78,379.3
2345,2023-10-06,2023-11-07,498.89,532.26,0.0596,⚪ 時間到期,20,582.69,436.03
3036,2023-11-06,2023-11-07,116.06,134.72,0.1529,🟢 停利,1,134.72,102.06
2891,2023-10-30,2023-11-14,22.29,23.62,0.0525,🟢 停利,11,23.62,21.29
3036,2023-11-07,2023-11-16,124.38,110.04,-0.1214,🔴 停損,7,143.5,110.04
2886,2023-10-20,2023-11-17,33.77,35.17,0.0344,⚪ 時間到期,20,35.79,32.25
3443,2023-10-23,2023-11-20,1499.51,1673.68,0.1085,⚪ 時間到期,20,1786.43,1284.33
2458,2023-10-27,2023-11-24,123.72,133.31,0.0701,⚪ 時間到期,20,138.84,112.39
6669,2023-10-31,2023-11-28,1573.33,1652.97,0.0434,⚪ 時間到期,20,1885.77,1339.0
2603,2023-11-02,2023-11-30,90.42,92.39,0.0148,⚪ 時間到期,20,99.33,83.73
2454,2023-11-06,2023-12-04,790.25,837.96,0.0531,⚪ 時間到期,20,872.52,728.55
2303,2023-11-06,2023-12-04,44.54,44.67,-0.0039,⚪ 時間到期,20,48.56,41.52
3034,2023-11-07,2023-12-05,443.29,451.37,0.0113,⚪ 時間到期,20,484.3,412.53
1519,2023-11-30,2023-12-05,224.53,269.88,0.1937,🟢 停利,3,269.88,190.52
2385,2023-11-16,2023-12-07,140.08,156.59,0.1102,🟢 停利,15,156.59,127.7
1519,2023-12-05,2023-12-07,249.21,297.06,0.1839,🟢 停利,2,297.06,213.32
2606,2023-12-05,2023-12-07,52.6,47.97,-0.0943,🔴 停損,2,58.78,47.97
6285,2023-11-14,2023-12-12,127.5,145.75,0.1353,🟢 停利,20,145.75,113.81
2618,2023-11-17,2023-12-15,29.11,28.41,-0.0307,⚪ 時間到期,20,32.55,26.54
6415,2023-11-20,2023-12-18,407.65,390.09,-0.0496,⚪ 時間到期,20,478.51,354.5
6285,2023-12-15,2023-12-21,155.68,139.76,-0.1084,🔴 停損,4,176.91,139.76
3661,2023-11-24,2023-12-22,3092.93,3305.64,0.0615,⚪ 時間到期,20,3669.7,2660.35
3711,2023-11-28,2023-12-26,117.78,123.74,0.0434,⚪ 時間到期,20,126.09,111.55
2609,2023-12-22,2023-12-28,48.91,44.75,-0.0913,🔴 停損,4,54.46,44.75
2353,2023-12-26,2023-12-28,45.54,50.59,0.1032,🟢 停利,2,50.59,41.75
3035,2023-12-04,2024-01-02,380.56,349.14,-0.0888,⚪ 時間到期,20,445.54,331.82
2368,2023-12-04,2024-01-02,224.07,209.44,-0.0717,⚪ 時間到期,20,261.35,196.11
6239,2023-12-18,2024-01-03,134.66,122.71,-0.095,🔴 停損,11,149.66,123.42
2204,2023-12-12,2024-01-04,106.18,95.48,-0.1069,🔴 停損,16,120.45,95.48
2603,2023-12-21,2024-01-04,122.62,134.75,0.0914,🟢 停利,9,134.75,113.53
2353,2023-12-28,2024-01-04,49.69,45.14,-0.0977,🔴 停損,4,55.75,45.14
1519,2023-12-07,2024-01-05,276.32,269.98,-0.0296,⚪ 時間到期,20,328.05,237.52
2605,2023-12-07,2024-01-05,25.58,25.37,-0.015,⚪ 時間到期,20,29.37,22.73
2385,2023-12-07,2024-01-05,154.9,162.37,0.0411,⚪ 時間到期,20,172.57,141.64
2609,2024-01-04,2024-01-10,47.87,41.95,-0.1297,🔴 停損,4,55.76,41.95
2324,2023-12-28,2024-01-12,35.59,32.05,-0.1056,🔴 停損,10,40.31,32.05
2357,2024-01-02,2024-01-12,454.15,413.24,-0.0963,🔴 停損,8,508.71,413.24
3481,2024-01-12,2024-01-18,14.51,16.25,0.1125,🟢 停利,4,16.25,13.2
2615,2024-01-05,2024-01-22,54.86,46.84,-0.1521,🔴 停損,11,65.56,46.84
2356,2024-01-02,2024-01-30,49.66,52.51,0.0502,⚪ 時間到期,20,58.32,43.17
6239,2024-01-03,2024-01-31,122.84,132.26,0.0693,⚪ 時間到期,20,144.29,106.75
2353,2024-01-04,2024-02-01,46.28,42.96,-0.078,⚪ 時間到期,20,53.87,40.59
2603,2024-01-04,2024-02-01,130.46,129.51,-0.0141,⚪ 時間到期,20,148.69,116.79
3036,2024-01-18,2024-02-01,136.83,157.96,0.1466,🟢 停利,10,157.96,120.97
1519,2024-01-30,2024-02-01,320.41,378.29,0.1726,🟢 停利,2,378.29,277.01
6285,2024-01-05,2024-02-02,141.82,132.91,-0.0692,⚪ 時間到期,20,165.27,124.24
6415,2024-01-05,2024-02-02,433.16,382.25,-0.1236,⚪ 時間到期,20,517.05,370.23
3017,2024-01-31,2024-02-05,415.84,483.44,0.1546,🟢 停利,3,483.44,365.14
2376,2024-02-01,2024-02-15,289.25,348.73,0.1974,🟢 停利,3,329.63,258.96
3231,2024-02-02,2024-02-15,111.52,126.57,0.1272,🟢 停利,2,126.57,100.23
2383,2024-02-02,2024-02-15,449.28,516.4,0.1415,🟢 停利,2,513.08,401.43
2609,2024-01-10,2024-02-16,44.21,40.78,-0.084,⚪ 時間到期,20,54.1,36.8
1519,2024-02-01,2024-02-19,360.06,423.11,0.1671,🟢 停利,5,423.11,312.77
3035,2024-01-12,2024-02-20,407.74,387.94,-0.0551,⚪ 時間到期,20,461.08,367.74
3661,2024-02-15,2024-02-23,4202.45,3826.52,-0.0957,🔴 停損,6,4703.69,3826.52
3231,2024-02-16,2024-02-23,122.86,109.69,-0.1133,🔴 停損,5,140.42,109.69
2356,2024-02-15,2024-02-27,55.28,50.24,-0.0974,🔴 停損,8,62.0,50.24
3481,2024-01-22,2024-02-29,16.32,14.83,-0.0972,⚪ 時間到期,20,18.63,14.59
