name,args,ann,sharpe,sortino,calmar,mdd,trades,win_rate,pf
tp=3.5,--tp-atr 3.5,67.47,2.517,3.296,3.714,-18.2,634,56.9,1.73
tp=4.5,--tp-atr 4.5,61.56,2.379,3.161,3.423,-18.0,538,53.7,1.77
k=5,--top-k 5,62.2,2.327,3.026,4.253,-14.6,569,54.1,1.68
hold=15,--hold-days 15,58.11,2.171,2.781,2.618,-22.2,677,54.5,1.64
k=4,--top-k 4,58.43,2.17,2.804,3.505,-16.7,568,53.7,1.67
sl=3.5,--sl-atr 3.5,56.91,2.161,2.832,3.024,-18.8,540,56.9,1.78
hold=30,--hold-days 30,56.16,2.14,2.723,2.772,-20.3,474,57.6,1.76
k=6,--top-k 6,56.37,2.118,2.732,2.723,-20.7,565,53.5,1.66
slip=0.2%,--slippage 0.002,57.56,2.118,2.709,3.022,-19.0,566,55.3,1.69
baseline,,55.36,2.083,2.683,2.674,-20.7,566,53.4,1.65
hold=20,--hold-days 20,55.36,2.083,2.683,2.674,-20.7,566,53.4,1.65
slip=0.1%,--slippage 0.001,55.36,2.083,2.683,2.674,-20.7,566,53.4,1.65
dyn-risk,--dynamic-risk,47.2,2.021,2.582,3.292,-14.3,558,55.4,1.73
gap=1.5+dyn,--gap-filter 1.5 --dynamic-risk,47.2,2.021,2.582,3.292,-14.3,558,55.4,1.73
hold=25,--hold-days 25,51.16,1.965,2.474,2.382,-21.5,506,54.9,1.66
sl=2.5,--sl-atr 2.5,44.09,1.633,2.087,1.83,-24.1,623,50.4,1.48
